111	111	112	112	113	122	122	121	122	123
124	122	121	131	132	143	212	212	212	213
212	212	221	224	223	222	222	222	223	222
231	233	232	232	231	231	232	233	234	232
231	233	232	234	233	233	233	233	232	232
241	242	314	312	311	313	313	313	313	322
321	324	323	322	323	323	323	323	324	323
323	333	332	332	334	333	333	333	332	334
334	332	332	333	332	331	332	333	333	333
331	332	334	333	333	333	333	333	332	333
334	333	333	333	332	333	334	333	343	343
342	343	344	343	343	343	424	434	443	432
431	432	433	442	443	443	443	443	443	442
444	444	444	444	444
